id;start_date;end_date;language
1;2019-05-09T15:51:58;2019-05-09T09:00:15;FRENCH
2;2019-05-09T17:22:03;2019-05-09T02:28:13;FRENCH
3;2019-05-09T12:54:08;2019-05-09T04:18:08;FRENCH
4;2019-05-09T02:05:59;2019-05-09T09:33:01;FRENCH
5;2019-05-09T11:04:38;2019-05-09T15:48:47;FRENCH
6;2019-05-09T17:21:38;2019-05-09T18:38:35;FRENCH
7;2019-05-09T02:43:58;2019-05-09T15:24:45;FRENCH
8;2019-05-09T00:15:17;2019-05-09T08:15:26;FRENCH
9;2019-05-09T10:03:23;2019-05-09T18:28:01;FRENCH
10;2019-05-09T13:21:33;2019-05-09T10:37:47;FRENCH
